Fecha Cierre;Número de cliente;Direccion Iquitos;Edad del cliente (en años);Género del cliente;Estado civil del cliente;Monto Ultimo Desembolso;Número de meses transcurridos desde el último desembolso;Antigüedad (número de meses) del cliente con Caja Maynas;Antigüedad (número de meses) del AdN en Caja Maynas (a la fecha de corte);Cliente aún activo en Caja Mayas (3 meses después del corte);Cliente aún activo en Caja Mayas (6 meses después del corte;Asesor de Negocios empleado en Caja Mayas (3 meses después del corte);Asesor de Negocios empleado en Caja Mayas (6 meses después del corte);Número de créditos vigentes en Caja Maynas (a la fecha de corte);Número de créditos vigentes en otras intituciones financieras (a la fecha de corte);Número de créditos adicionales en Caja Maynas (3 meses después del corte);Número de créditos adicionales en Caja Maynas (6 meses después del corte);Interés total acumulado a la fecha de corte;Asesor de Negocios empleado en Caja Mayas (3 meses antes del corte);Asesor de Negocios empleado en Caja Mayas (6 meses antes del corte);Número de créditos adicionales en Caja Maynas (3 meses antes del corte);Número de créditos adicionales en Caja Maynas (6 meses antes del corte);AdN ha cambiado?;Numero Meses de Fecha Cambio ADN
30/06/2021;1090100098698;1;52;1;1;5000;7;21;45;1;0;1;0;1;2;1;0;0;0;0;0;0;0;0
30/06/2021;1090100101508;1;63;1;0;10000;6;11;27;1;0;1;0;2;2;0;0;162.79;0;0;0;0;0;0
30/06/2021;1090100101974;1;65;1;1;25100;5;11;27;1;0;1;0;2;1;0;0;281.29;0;0;0;0;0;0
30/06/2021;1090100103209;1;62;1;0;8000;6;18;28;1;0;1;0;1;1;0;0;201.99;0;0;0;0;0;0
30/06/2021;1090100106879;1;43;0;0;13000;3;30;86;1;0;1;0;2;4;0;0;338.88;0;0;0;0;0;0
30/06/2021;1090100112160;1;79;1;0;30000;0;64;34;1;0;0;0;2;0;0;0;795.91;0;0;0;0;0;0
30/06/2021;1090100112399;1;61;1;0;130000;8;34;7;1;0;1;0;1;2;0;0;868.41;0;0;0;0;0;0
30/06/2021;1090100112801;1;60;1;0;10000;7;68;17;1;0;1;0;1;2;0;0;80.14;0;0;0;0;1;2
30/06/2021;1090100112968;1;53;1;1;19500;26;33;39;1;0;0;0;1;2;0;0;60.58;0;0;0;0;1;25
30/06/2021;1090100113921;1;58;1;0;6500;9;19;32;1;0;1;0;2;1;0;0;183.49;0;0;0;0;0;0
30/06/2021;1090100114189;1;63;1;1;10000;4;43;25;1;0;0;0;1;1;0;0;36.41;0;0;0;0;0;0
30/06/2021;1090100114383;1;54;1;0;25000;18;115;45;1;0;1;0;1;0;0;0;510.35;0;0;0;0;1;2
30/06/2021;1090100114596;1;62;1;1;10000;3;23;4;1;0;1;0;2;0;0;0;114.47;0;0;0;0;0;0
30/06/2021;1090100114782;1;63;1;1;84000;4;112;17;1;0;1;0;1;1;0;0;441.89;0;0;0;0;0;0
30/06/2021;1090100115738;1;59;1;1;12000;11;34;22;1;0;1;0;2;0;0;0;457.56;0;0;0;0;1;2
30/06/2021;1090100116084;1;59;1;1;11500;0;47;25;1;0;1;0;2;1;1;0;172.21;0;0;0;0;0;0
30/06/2021;1090100116483;1;62;1;0;107000;1;85;86;1;0;1;0;2;0;0;0;901.5;0;0;0;0;0;0
30/06/2021;1090100116700;1;52;1;0;30000;12;123;60;1;0;1;0;1;1;1;0;1047.71;0;0;0;0;0;0
30/06/2021;1090100116939;1;73;1;0;5000;1;29;4;1;0;1;0;3;1;1;0;385.01;0;0;0;0;0;0
30/06/2021;1090100116955;1;60;1;0;22000;17;45;7;1;0;1;0;1;3;0;0;2061.79;0;0;0;0;0;0
30/06/2021;1090100117030;1;60;0;0;4000;6;20;39;1;0;1;0;1;2;0;0;119.75;0;0;0;0;0;0
30/06/2021;1090100117692;1;71;1;0;88000;4;132;7;1;0;1;0;1;1;0;0;551.9;0;0;0;0;0;0
30/06/2021;1090100119261;1;65;0;1;10000;11;117;27;1;0;1;0;1;1;0;0;1167.03;0;0;0;0;0;0
30/06/2021;1090100119482;1;75;1;0;30000;10;79;17;1;0;1;0;1;1;0;0;143.03;0;0;0;0;0;0
30/06/2021;1090100120383;1;64;1;1;28000;5;113;25;1;0;1;0;1;1;0;0;494.27;0;0;0;0;0;0
30/06/2021;1090100122751;1;63;1;1;35000;0;127;22;1;0;1;0;1;1;0;0;267.73;0;0;0;0;0;0
30/06/2021;1090100123846;1;67;1;0;70000;6;128;86;1;0;1;0;1;1;0;0;141.74;0;0;0;0;0;0
30/06/2021;1090100124036;1;78;1;0;15000;57;109;22;1;0;1;0;1;0;0;0;1296.86;0;0;0;0;1;41
30/06/2021;1090100124354;1;71;1;0;25000;0;51;76;1;0;1;0;1;0;0;0;231.78;0;0;0;0;0;0
30/06/2021;1090100125059;1;60;1;0;13000;12;81;22;1;0;1;0;3;2;0;0;314.17;0;0;0;0;1;5
30/06/2021;1090100128368;1;64;1;0;12000;8;12;4;1;0;1;0;2;1;0;0;34.3;0;0;0;0;0;0
30/06/2021;1090100128881;1;64;0;1;30000;11;78;119;1;0;1;0;2;0;0;0;1245.39;0;0;0;0;0;0
30/06/2021;1090100130516;1;55;1;1;79400;9;81;60;1;0;1;0;1;1;0;0;450.15;0;0;0;0;0;0
30/06/2021;1090100131652;1;57;1;0;26000;2;20;32;1;0;1;0;1;2;0;0;254.53;0;0;0;0;0;0
30/06/2021;1090100133761;1;74;0;1;12000;0;84;86;1;0;1;0;1;1;0;0;119.41;0;0;0;0;0;0
30/06/2021;1090100139459;1;69;1;1;13000;3;27;34;1;0;0;0;2;2;0;0;180.7;0;0;0;0;0;0
30/06/2021;1090100139751;1;50;1;1;190000;21;122;86;1;0;1;0;1;1;0;0;260.51;0;0;0;0;1;20
30/06/2021;1090100140457;1;59;1;0;40000;2;2;86;1;0;1;0;1;0;0;0;702.95;0;0;0;0;0;0
30/06/2021;1090100141151;1;57;1;0;30000;0;20;27;1;0;1;0;1;3;0;0;0;0;0;0;0;0;0
30/06/2021;1090100143316;1;55;1;0;10000;1;21;22;1;0;1;0;2;3;0;0;151.74;0;0;0;0;0;0
30/06/2021;1090100143880;1;59;1;0;350000;46;46;86;0;0;1;0;1;1;0;0;587.16;0;0;0;0;1;41
30/06/2021;1090100147982;1;49;1;1;39900;2;126;7;1;0;1;0;2;2;1;0;0;0;0;0;0;0;0
30/06/2021;1090100151947;1;56;1;1;29900;7;7;112;1;0;1;0;1;2;0;0;488.89;0;0;0;0;0;0
30/06/2021;1090100153923;1;65;1;0;15100;7;42;25;1;0;1;0;1;2;1;0;99.37;0;0;0;0;0;0
30/06/2021;1090100156060;1;66;1;1;2500;7;12;25;1;0;0;0;2;2;0;0;31.5;0;0;0;0;0;0
30/06/2021;1090100161462;1;58;1;1;5000;17;31;98;1;0;1;0;1;2;0;0;80.28;0;0;0;0;1;17
30/06/2021;1090100164216;1;67;1;1;30000;2;27;86;1;0;1;0;2;0;0;0;325.67;0;0;0;0;0;0
30/06/2021;1090100166146;1;44;1;0;15000;10;72;22;1;0;1;0;1;1;1;0;0;0;0;0;0;1;2
30/06/2021;1090100172171;1;58;1;0;20000;11;11;27;1;0;1;0;1;3;0;0;118.75;0;0;0;0;0;0
30/06/2021;1090100172481;1;50;0;0;45000;9;9;86;1;0;1;0;1;1;0;0;511.74;0;0;0;0;0;0
30/06/2021;1090100179639;1;44;1;0;13000;5;11;98;1;0;1;0;2;2;0;0;399.76;0;0;0;0;0;0
30/06/2021;1090100181463;1;45;1;0;60000;5;40;60;1;0;1;0;1;1;1;0;722.25;0;0;0;0;0;0
30/06/2021;1090100183172;1;61;1;0;7000;0;22;60;1;0;1;0;2;1;0;0;268.44;0;0;0;0;0;0
30/06/2021;1090100183814;1;44;1;0;25000;6;6;22;0;0;1;0;1;1;0;0;226.73;0;0;0;0;1;7
30/06/2021;1090100185981;1;59;1;1;10000;8;10;34;1;0;0;0;2;1;0;0;188.42;0;0;0;0;0;0
30/06/2021;1090100186431;1;56;1;1;18000;11;38;28;1;0;1;0;3;2;0;0;924.58;0;0;0;0;0;0
30/06/2021;1090100189511;1;44;0;0;60000;9;33;7;1;0;1;0;1;1;0;0;796.09;0;0;0;0;0;0
30/06/2021;1090100194891;1;47;0;1;10000;21;21;17;1;0;1;0;1;2;0;0;18.28;0;0;0;0;0;0
30/06/2021;1090100195146;0;71;1;0;63000;11;92;113;1;0;1;0;1;2;0;0;416.51;0;0;0;0;0;0
30/06/2021;1090100197602;1;59;1;0;70500;9;109;60;1;0;1;0;3;1;0;0;591.82;0;0;0;0;0;0
30/06/2021;1090100199222;1;56;1;0;10000;12;25;4;1;0;1;0;1;2;0;0;56.36;0;0;0;0;1;10
30/06/2021;1090100201685;1;60;1;0;10000;1;11;22;1;0;1;0;3;0;0;0;603.97;0;0;0;0;0;0
30/06/2021;1090100202215;1;54;1;0;45000;19;19;86;1;0;1;0;1;0;0;0;4890.22;0;0;0;0;1;15
30/06/2021;1090100202738;1;47;0;0;150000;7;13;86;1;0;1;0;2;0;0;0;464.41;0;0;0;0;0;0
30/06/2021;1090100203076;1;62;1;1;4000;0;28;32;1;0;1;0;3;0;1;0;205;0;0;0;0;0;0
30/06/2021;1090100203327;1;65;0;1;29900;6;21;76;0;0;1;0;1;1;0;0;99.75;0;0;0;0;0;0
30/06/2021;1090100205079;1;52;0;0;15700;11;70;119;1;0;1;0;2;2;1;0;131.45;0;0;0;0;0;0
30/06/2021;1090100207870;0;46;0;0;29900;3;32;53;0;0;1;0;1;2;0;0;78.8;0;0;0;0;0;0
30/06/2021;1090100208451;1;61;1;0;35000;16;37;39;1;0;1;0;1;2;0;0;435.14;0;0;0;0;1;17
30/06/2021;1090100208779;1;47;1;1;21453.18;10;10;60;1;0;1;0;1;0;1;0;100.54;0;0;0;0;0;0
30/06/2021;1090100208841;1;63;1;0;12000;1;1;86;1;0;1;0;1;1;0;0;204.53;0;0;0;0;0;0
30/06/2021;1090100209813;1;51;1;0;11000;0;95;86;1;0;1;0;1;3;0;0;178.03;0;0;0;0;0;0
30/06/2021;1090100209830;1;54;1;1;5000;0;21;60;1;0;1;0;2;0;0;0;178.12;0;0;0;0;0;0
30/06/2021;1090100210234;1;58;1;0;40000;21;21;86;1;0;1;0;1;1;0;0;2753.68;0;0;0;0;0;0
30/06/2021;1090100210463;0;63;0;1;35000;16;126;25;1;0;1;0;1;3;0;0;121.92;0;0;0;0;0;0
30/06/2021;1090100210757;1;57;1;0;3500;7;15;53;1;0;1;0;3;2;0;0;107.53;0;0;0;0;0;0
30/06/2021;1090100212423;0;42;1;1;10000;3;68;53;1;0;1;0;2;3;1;0;1879.02;0;0;0;0;0;0
30/06/2021;1090100214388;1;63;0;0;14900;8;11;112;1;0;1;0;2;1;0;0;89.57;0;0;0;0;0;0
30/06/2021;1090100214469;1;54;1;1;14000;3;33;60;1;0;1;0;1;3;0;0;301.14;0;0;0;0;0;0
30/06/2021;1090100214591;1;48;1;0;29500;28;28;4;1;0;1;0;1;1;1;0;86.05;0;0;0;0;1;28
30/06/2021;1090100214728;1;65;1;1;5400;0;71;4;1;0;1;0;1;1;0;0;98.82;0;0;0;0;0;0
30/06/2021;1090100219061;1;58;1;0;21000;8;113;86;1;0;1;0;1;1;0;0;233.77;0;0;0;0;0;0
30/06/2021;1090100221970;1;57;1;0;30000;26;26;28;1;0;1;0;1;1;0;0;251.38;0;0;0;0;0;0
30/06/2021;1090100222607;0;65;0;1;9000;7;48;25;1;0;1;0;2;2;0;0;233.24;0;0;0;0;0;0
30/06/2021;1090100223662;0;60;0;0;40000;12;80;119;1;0;1;0;1;0;0;0;243.52;0;0;0;0;0;0
30/06/2021;1090100227391;1;57;0;1;29500;11;11;32;1;0;1;0;1;3;1;0;0;0;0;0;0;1;9
30/06/2021;1090100228800;1;52;1;0;10000;10;94;27;0;0;1;0;1;2;0;0;91.53;0;0;0;0;0;0
30/06/2021;1090100231274;1;59;1;0;50000;7;7;86;1;0;1;0;1;0;0;0;340.26;0;0;0;0;0;0
30/06/2021;1090100232378;1;48;1;0;9500;12;68;7;1;0;1;0;2;2;0;0;483.46;0;0;0;0;0;0
30/06/2021;1090100232483;1;44;1;0;5500;4;8;45;1;0;1;0;1;2;0;0;138.57;0;0;0;0;1;2
30/06/2021;1090100235784;1;50;1;1;58000;11;122;3;1;0;1;0;1;2;0;0;5678.07;0;0;0;0;1;5
30/06/2021;1090100235857;1;66;1;1;50000;53;78;7;1;0;1;0;1;1;0;0;1059.48;0;0;0;0;1;50
30/06/2021;1090100236918;1;48;1;0;12000;12;79;39;1;0;0;0;2;2;0;0;339.17;0;0;0;0;0;0
30/06/2021;1090100237957;1;64;1;0;4500;61;129;86;0;0;1;0;1;1;0;0;1.5;0;0;0;0;1;59
30/06/2021;1090100242373;1;60;1;1;22500;12;20;22;1;0;1;0;2;0;1;0;192.82;0;0;0;0;1;7
30/06/2021;1090100243566;1;57;1;1;16000;11;31;98;1;0;1;0;2;2;0;0;113.82;0;0;0;0;0;0
30/06/2021;1090100246034;1;62;0;1;50000;41;61;119;1;0;1;0;1;1;0;0;140.1;0;0;0;0;0;0
30/06/2021;1090100246433;1;69;1;0;19300;10;84;60;1;0;1;0;2;3;0;0;277.79;0;0;0;0;0;0
30/06/2021;1090100247791;1;66;1;0;25000;16;16;32;1;0;1;0;1;1;0;0;11031.88;0;0;0;0;0;0
30/06/2021;1090100248711;1;62;1;0;30000;1;65;86;1;0;1;0;1;2;0;0;376.83;0;0;0;0;0;0
30/06/2021;1090100248754;0;57;1;1;14400;11;30;53;0;0;1;0;2;0;0;0;380.39;0;0;0;0;0;0
30/06/2021;1090100251453;1;60;1;0;2000;10;10;27;1;0;1;0;1;2;1;0;8.01;0;0;0;0;1;5
30/06/2021;1090100252140;1;58;1;1;25300;1;23;86;1;0;1;0;1;2;0;0;873.55;0;0;0;0;0;0
30/06/2021;1090100252450;1;57;0;1;70000;17;72;60;0;0;1;0;1;0;0;0;125.15;0;0;0;0;0;0
30/06/2021;1090100252972;1;65;1;1;15000;2;123;4;1;0;1;0;1;2;0;0;211.25;0;0;0;0;0;0
30/06/2021;1090100256986;1;44;1;0;17000;2;44;53;1;0;1;0;1;2;0;0;254.97;0;0;0;0;0;0
30/06/2021;1090100258962;1;49;1;0;50000;21;104;27;1;0;1;0;1;1;0;0;426.03;0;0;0;0;1;17
30/06/2021;1090100261602;1;66;0;1;10500;11;44;44;1;0;0;0;2;1;0;0;324.36;0;0;0;0;1;8
30/06/2021;1090100265896;1;67;0;0;7000;8;16;32;1;0;1;0;1;2;0;0;37.94;0;0;0;0;0;0
30/06/2021;1090100266256;1;68;0;1;100000;9;117;45;1;0;1;0;1;0;0;0;4817.6;0;0;0;0;1;2
30/06/2021;1090100267058;1;60;1;1;16000;8;18;34;1;0;0;0;1;1;1;0;201.48;0;0;0;0;0;0
30/06/2021;1090100267406;1;49;1;1;29500;32;32;4;1;0;1;0;1;1;0;0;72.61;0;0;0;0;1;20
30/06/2021;1090100268925;1;52;0;1;200000;103;103;22;0;0;1;0;1;1;0;0;149.95;0;0;0;0;1;77
30/06/2021;1090100268941;1;52;1;0;25800;4;45;76;1;0;1;0;2;2;0;0;206.01;0;0;0;0;0;0
30/06/2021;1090100270849;1;69;1;1;40000;20;120;4;1;0;1;0;1;1;0;0;85.54;0;0;0;0;1;11
30/06/2021;1090100272264;1;49;1;0;12000;10;110;45;0;0;1;0;1;1;0;0;59.18;0;0;0;0;0;0
30/06/2021;1090100274224;1;48;1;0;30000;2;81;27;1;0;1;0;1;1;0;0;287.61;0;0;0;0;0;0
30/06/2021;1090100274364;1;40;1;0;2500;6;11;22;1;0;1;0;2;1;1;0;188.72;0;0;0;0;0;0
30/06/2021;1090100274852;1;44;1;0;170000;7;56;65;1;0;0;0;2;1;1;0;934.47;0;0;0;0;1;7
30/06/2021;1090100275638;1;57;0;1;160000;25;53;60;1;0;1;0;1;3;0;0;32443.66;0;0;0;0;1;19
30/06/2021;1090100276880;1;60;1;0;29500;24;36;4;1;0;1;0;1;1;0;0;9131.6;0;0;0;0;1;20
30/06/2021;1090100284238;1;59;0;0;24000;2;40;60;1;0;1;0;1;3;0;0;0;0;0;0;0;0;0
30/06/2021;1090100284963;1;54;1;1;13000;2;59;7;1;0;1;0;1;1;0;0;197.93;0;0;0;0;0;0
30/06/2021;1090100285137;1;49;0;0;59000;8;30;22;1;0;1;0;1;2;0;0;929.1;0;0;0;0;1;2
30/06/2021;1090100287806;1;42;1;1;11000;12;38;4;1;0;1;0;1;2;0;0;190.17;0;0;0;0;1;10
30/06/2021;1090100288047;1;58;1;1;22000;11;19;7;1;0;1;0;1;1;0;0;370.18;0;0;0;0;0;0
30/06/2021;1090100293229;0;64;1;1;10000;7;12;119;1;0;1;0;2;0;0;0;286.05;0;0;0;0;0;0
30/06/2021;1090100293237;1;53;1;0;40000;19;63;60;1;0;1;0;1;2;0;0;192.09;0;0;0;0;0;0
30/06/2021;1090100293741;1;58;0;0;10000;16;125;22;0;0;1;0;1;1;0;0;54.8;0;0;0;0;1;5
30/06/2021;1090100293768;1;63;0;1;3000;3;10;7;1;0;1;0;2;1;0;0;172.95;0;0;0;0;0;0
30/06/2021;1090100296538;1;66;0;1;30100;9;69;60;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0
